name,batch_no,quantity,price_per_unit,expiry_date
Paracetamol,BT1001,500,12.5,2026-02-15
Amoxicillin,BT1002,300,8.0,2025-11-10
Ibuprofen,BT1003,200,20.0,2026-01-20
Cetirizine,BT1004,150,5.0,2025-09-25
Azithromycin,BT1005,400,18.0,2026-03-12
Vitamin C,BT1006,600,3.0,2027-01-01
Metformin,BT1007,250,25.0,2026-07-10
Omeprazole,BT1008,350,15.0,2025-12-05
Aspirin,BT1009,700,10.0,2026-08-20
Doxycycline,BT1010,180,22.0,2025-10-18
Losartan,BT1011,120,30.0,2026-11-30
Atorvastatin,BT1012,500,28.0,2027-05-25
Levothyroxine,BT1013,450,32.0,2026-04-10
Diclofenac,BT1014,300,14.0,2025-09-15
Pantoprazole,BT1015,200,12.0,2026-02-28
Amoxiclav,BT1016,250,35.0,2025-12-01
Clarithromycin,BT1017,150,42.0,2026-01-22
Ciprofloxacin,BT1018,400,40.0,2026-06-18
Ranitidine,BT1019,180,18.0,2025-11-05
Hydroxychloroquine,BT1020,220,55.0,2027-01-10
Insulin,BT1021,100,120.0,2025-09-30
Warfarin,BT1022,75,95.0,2026-08-12
Furosemide,BT1023,300,10.0,2026-07-20
Hydrochlorothiazide,BT1024,400,11.0,2025-10-30
Amlodipine,BT1025,350,15.5,2026-12-15
Prednisone,BT1026,200,45.0,2026-01-05
Glibenclamide,BT1027,280,9.5,2025-11-15
Clopidogrel,BT1028,140,38.0,2026-03-03
Metoprolol,BT1029,160,27.0,2026-09-21
Sildenafil,BT1030,90,80.0,2026-02-10
Salbutamol,BT1031,250,20.0,2025-12-25
Montelukast,BT1032,300,25.0,2026-05-17
Sertraline,BT1033,200,48.0,2026-04-14
Fluoxetine,BT1034,150,42.0,2026-03-09
Diazepam,BT1035,100,52.0,2026-10-01
Alprazolam,BT1036,120,55.0,2026-07-19
Clonazepam,BT1037,140,60.0,2026-06-12
Gabapentin,BT1038,200,65.0,2027-01-30
Pregabalin,BT1039,220,75.0,2026-11-28
Carbamazepine,BT1040,160,58.0,2026-09-07
Lamotrigine,BT1041,130,62.0,2026-02-20
Phenytoin,BT1042,110,70.0,2026-08-08
Topiramate,BT1043,140,72.0,2025-12-19
Amphotericin B,BT1044,60,150.0,2025-09-10
Ketoconazole,BT1045,80,95.0,2026-04-22
Itraconazole,BT1046,90,120.0,2026-07-14
Fluconazole,BT1047,200,85.0,2026-05-01
Erythromycin,BT1048,250,32.0,2026-01-27
Rifampicin,BT1049,180,55.0,2026-06-06
Streptomycin,BT1050,70,145.0,2025-11-09
